Date,White,Black,Hispanic
SEP 2021,41.4912785221761,24.39927479067504,30.33666336522782
APR 2022,39.65866429813386,18.13027126424044,29.6639587208099
SEP 2022,36.98212534486215,15.2247473573327,31.47065063394427
JAN 2023,38.90961725836542,10.45924549595805,29.25797012494017
APR 2023,40.22746604057429,19.29320230509379,34.8987229448871
MAY 2023,42.03552630944273,18.21768354007345,34.80926976852122
JUN 2024,38.15252377412215,17.61114803289618,28.93684776449575
SEP 2024,38.54403560856321,20.33659861967481,36.24901675581592
NOV 2024,45.26069751676361,30.19378275190033,46.01972212712596
MAY 2025,42.56190816681743,24.33877813877913,31.11103546115845
SEP 2025,38.68447540708991,21.12521210978329,28.79517574432186
JAN 2026,38.46467618734827,22.27092386964995,33.85715762590332
