Date,Democrats,Independents,Republicans
JAN 2023,30.75801771405635,46.3999917245492,53.02269340715387
APR 2023,40.29792145533663,46.94259922681868,58.54884561263947
MAY 2023,38.9801772966911,46.90254329839462,55.36841250950909
JUN 2023,36.11884756718346,48.21901106465557,52.99458286952499
SEP 2023,44.02311322148026,51.27496411995715,58.6993713147366
JAN 2024,43.49573613067954,46.48652100426393,60.39421945823
JUN 2024,42.26261869816283,49.16156258897692,54.55769674212701
NOV 2024,47.96715560332785,52.73607716255856,55.24090453966245
MAY 2025,50.17640479246251,43.72198837497026,46.91426222867224
SEP 2025,38.1179054850418,48.27392399018508,45.30438148791526
