Date,Female,Male
SEP 2021,22.00192445684411,29.59451511817938
APR 2022,19.59152696979432,26.49308870258946
SEP 2022,14.95336655461291,28.39269943558268
JAN 2023,17.28826621172469,25.06933434640241
APR 2023,19.87664140926397,30.39514463554915
MAY 2023,19.73215620444726,27.56026594646845
SEP 2023,21.07215301847661,32.4108585192989
JAN 2024,24.70872085774544,34.20347481738944
JUN 2024,25.48351963543389,26.8192200014089
SEP 2024,24.05270172942191,27.79886890773999
NOV 2024,24.17817899282628,29.77261880248985
MAY 2025,18.59863760464921,28.99292657496663
SEP 2025,18.73649634424372,25.1178144853842
JAN 2026,19.07723423882672,30.35783952420894
