Date,Female,Male
SEP 2022,7.791583449185397,8.753295761805536
JAN 2023,8.796411429575869,6.964097097751674
APR 2023,9.308775960587869,7.511910405714904
MAY 2023,9.960969149819999,8.163353344893242
JUN 2023,13.14901265900311,10.81034532809529
SEP 2023,12.56777331052158,8.078442050428889
JAN 2024,10.99401715867185,7.211333832129885
JUN 2024,11.60759380126976,9.644078742033029
NOV 2024,7.721573151001467,6.019206714802895
MAY 2025,17.22041549763479,12.3547074335541
SEP 2025,11.16697539417968,9.421250388095256
