Date,Democrats,Independents,Republicans
JUN 2021,2.655353037997173,16.53889973076219,12.62385753655703
SEP 2021,3.266799391006324,6.965919412635849,18.29421370998529
APR 2022,2.812133626219165,6.101261435505809,14.5757219383042
SEP 2022,2.99828098696922,6.891959794827033,7.456864122376262
JAN 2023,2.311816598826306,4.894724381047824,7.386844238959562
APR 2023,2.187746651675915,4.977969974595997,6.421205754549865
MAY 2023,1.748077107493641,5.013811994480887,7.790180798349322
JUN 2023,4.365532010815376,7.86105753841876,9.256827316113878
SEP 2023,2.309589655490609,5.320131631397674,8.553160860923281
JAN 2024,3.915347194890658,5.884369807845995,10.03764111191363
JUN 2024,4.335712530019401,4.395032778460886,11.67421016053544
SEP 2024,4.95702050375809,1.93295852580336,8.333513850466783
NOV 2024,3.011971524484947,2.782468720862018,7.686785276344741
